SAR_hist_x,SAR_hist_y
-0.5,0.7088
0.5,0.0679
1.5,0.0371
2.5,0.0251
3.5,0.0175
4.5,0.0161
5.5,0.0122
6.5,0.0105
7.5,0.0093
8.5,0.0074
9.5,0.0067
10.5,0.0062
11.5,0.0051
12.5,0.0046
13.5,0.0036
14.5,0.0036
15.5,0.0049
16.5,0.0043
17.5,0.0019
18.5,0.0022
19.5,0.0031
20.5,0.0029
21.5,0.0021
22.5,0.0023
23.5,0.0019
24.5,0.002
25.5,0.0016
26.5,0.001
27.5,0.002
28.5,0.0012
29.5,0.0011
30.5,0.0009
31.5,0.0011
32.5,0.0008
33.5,0.0014
34.5,0.0017
35.5,0.0008
36.5,0.0015
37.5,0.0005
38.5,0.0012
39.5,0.0005
40.5,0.0006
41.5,0.001
42.5,0.0008
43.5,0.0009
44.5,0.0003
45.5,0.0003
46.5,0.0003
47.5,0.0005
48.5,0.0002
49.5,0.0006
50.5,0.0004
51.5,0.0001
52.5,0.0002
53.5,0
54.5,0.0004
55.5,0.0003
56.5,0.0004
57.5,0.0004
58.5,0.0003
59.5,0.0005
60.5,0
61.5,0.0001
62.5,0
63.5,0.0002
64.5,0.0002
65.5,0.0003
66.5,0.0005
67.5,0
68.5,0.0004
69.5,0
70.5,0.0003
71.5,0.0002
72.5,0
73.5,0.0001
74.5,0.0002
75.5,0.0001
76.5,0.0003
77.5,0
78.5,0.0001
79.5,0
80.5,0.0001
81.5,0.0001
82.5,0
83.5,0
84.5,0.0001
85.5,0.0001
86.5,0
87.5,0
88.5,0.0002
89.5,0
90.5,0.0001
91.5,0
92.5,0
93.5,0
94.5,0.0001
95.5,0.0001
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0.0001
102.5,0
103.5,0.0001
104.5,0
105.5,0
106.5,0.0002
107.5,0
108.5,0
109.5,0
110.5,0
111.5,0
112.5,0
113.5,0
114.5,0.0001
115.5,0.0001
116.5,0.0001
117.5,0
118.5,0
119.5,0.0001
120.5,0
121.5,0
122.5,0.0001
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,0
129.5,0
130.5,0
131.5,0
132.5,0
133.5,0
134.5,0
135.5,0
136.5,0
137.5,0
138.5,0.0001
