t_TOSD,p_dens_TOSD,p_cum_TOSD
-9.25,0.001,0.0001
-9.15,0,0.0001
-9.05,0,0.0001
-8.95,0.001,0.0002
-8.85,0,0.0002
-8.75,0.00200000000000001,0.0004
-8.65,0.00200000000000001,0.0006
-8.55,0.001,0.0007
-8.45,0.001,0.0008
-8.35,0.001,0.0009
-8.25,0.001,0.001
-8.15,0.001,0.0011
-8.05,0.00200000000000001,0.0013
-7.95,0.00300000000000001,0.0016
-7.85,0.00200000000000001,0.0018
-7.75,0.00500000000000002,0.0023
-7.65,0.00500000000000002,0.0028
-7.55,0.00600000000000002,0.0034
-7.45,0.00400000000000001,0.0038
-7.35,0.00600000000000002,0.0044
-7.25,0.00500000000000002,0.0049
-7.15,0.014,0.0063
-7.05,0.00800000000000003,0.0071
-6.95,0.0150000000000001,0.0086
-6.85,0.0180000000000001,0.0104
-6.75,0.012,0.0116
-6.65,0.0190000000000001,0.0135
-6.55,0.0210000000000001,0.0156
-6.45,0.0190000000000001,0.0175
-6.35,0.0210000000000001,0.0196
-6.25,0.0240000000000001,0.022
-6.15,0.0210000000000001,0.0241
-6.05,0.0420000000000001,0.0283
-5.95,0.0410000000000001,0.0324
-5.85,0.0480000000000002,0.0372
-5.75,0.0400000000000001,0.0412
-5.65,0.0470000000000002,0.0459
-5.55,0.0580000000000002,0.0517
-5.45,0.0600000000000002,0.0577
-5.35,0.0710000000000003,0.0648
-5.25,0.0910000000000003,0.0739
-5.15,0.0830000000000003,0.0822
-5.05,0.0920000000000003,0.0914
-4.95,0.0920000000000003,0.1006
-4.85,0.0810000000000003,0.1087
-4.75,0.118,0.1205
-4.65,0.117,0.1322
-4.55,0.116,0.1438
-4.45,0.137,0.1575
-4.35,0.123,0.1698
-4.25,0.128,0.1826
-4.15,0.170000000000001,0.1996
-4.05,0.157000000000001,0.2153
-3.95,0.138,0.2291
-3.85,0.167000000000001,0.2458
-3.75,0.163000000000001,0.2621
-3.65,0.139,0.276
-3.55,0.164000000000001,0.2924
-3.45,0.155000000000001,0.3079
-3.35,0.177000000000001,0.3256
-3.25,0.182000000000001,0.3438
-3.15,0.189000000000001,0.3627
-3.05,0.192000000000001,0.3819
-2.95,0.175000000000001,0.3994
-2.85,0.202000000000001,0.4196
-2.75,0.168000000000001,0.4364
-2.65,0.204000000000001,0.4568
-2.55,0.209000000000001,0.4777
-2.45,0.220000000000001,0.4997
-2.35,0.197000000000001,0.5194
-2.25,0.220000000000001,0.5414
-2.15,0.200000000000001,0.5614
-2.05,0.198000000000001,0.5812
-1.95,0.181000000000001,0.5993
-1.85,0.204000000000001,0.6197
-1.75,0.213000000000001,0.641
-1.65,0.192000000000001,0.6602
-1.55,0.198000000000001,0.68
-1.45,0.216000000000001,0.7016
-1.35,0.213000000000001,0.7229
-1.25,0.200000000000001,0.7429
-1.15,0.208000000000001,0.7637
-1.05,0.210000000000001,0.7847
-0.95,0.186000000000001,0.8033
-0.850000000000001,0.187000000000001,0.822
-0.750000000000001,0.180000000000001,0.84
-0.650000000000001,0.162000000000001,0.8562
-0.55,0.171000000000001,0.8733
-0.45,0.167000000000001,0.89
-0.350000000000001,0.152000000000001,0.9052
-0.250000000000001,0.147000000000001,0.9199
-0.150000000000001,0.0980000000000004,0.9297
-0.0499999999999998,0.0920000000000003,0.9389
0.0499999999999998,0.0910000000000003,0.948
0.149999999999999,0.0670000000000002,0.9547
0.249999999999999,0.0680000000000002,0.9615
0.350000000000001,0.0410000000000001,0.9656
0.45,0.0380000000000001,0.9694
0.55,0.0430000000000002,0.9737
0.649999999999999,0.0270000000000001,0.9764
0.749999999999999,0.0390000000000001,0.9803
0.850000000000001,0.014,0.9817
0.95,0.0190000000000001,0.9836
1.05,0.014,0.985
1.15,0.012,0.9862
1.25,0.0200000000000001,0.9882
1.35,0.013,0.9895
1.45,0.011,0.9906
1.55,0.00900000000000003,0.9915
1.65,0.00600000000000002,0.9921
1.75,0.00600000000000002,0.9927
1.85,0.00400000000000001,0.9931
1.95,0.00900000000000003,0.994
2.05,0.00700000000000002,0.9947
2.15,0.00500000000000002,0.9952
2.25,0.00500000000000002,0.9957
2.35,0.00400000000000001,0.9961
2.45,0.00200000000000001,0.9963
2.55,0.00300000000000001,0.9966
2.65,0.001,0.9967
2.75,0.001,0.9968
2.85,0.001,0.9969
2.95,0.00200000000000001,0.9971
3.05,0.00200000000000001,0.9973
3.15,0.001,0.9974
3.25,0.00300000000000001,0.9977
3.35,0.00400000000000001,0.9981
3.45,0.00300000000000001,0.9984
3.55,0.001,0.9985
3.65,0,0.9985
3.75,0.001,0.9986
3.85,0,0.9986
3.95,0,0.9986
4.05,0.001,0.9987
4.15,0,0.9987
4.25,0,0.9987
4.35,0,0.9987
4.45,0.001,0.9988
4.55,0.001,0.9989
4.65,0.001,0.999
4.75,0.001,0.9991
4.85,0,0.9991
4.95,0,0.9991
5.05,0,0.9991
5.15,0,0.9991
5.25,0,0.9991
5.35,0,0.9991
5.45,0,0.9991
5.55,0,0.9991
5.65,0,0.9991
5.75,0,0.9991
5.85,0,0.9991
5.95,0,0.9991
6.05,0,0.9991
6.15,0.00200000000000001,0.9993
