R0,VE,n_breach,net_FoI,net_FoI_maxVE,net_exp_days,breach_per_IA,FoI_per_IA,exp_days_per_IA,net_FoI_rel_base,net_FoI_maxVE_rel_base
1,0,6301,1263.09363812493,1263.09363812493,21217.8000000001,0.301054874972278,0.0179217683880506,0.301054874972278,0.493594342677907,0.493594342677907
1,0.1,5442,1080.22032488359,972.198292395233,18229,0.285439037890675,0.016914644261601,0.285439037890675,0.422130731336558,0.379917658202902
1,0.2,4549,873.078594967328,698.462875973862,14667.7,0.256694652440072,0.0152794648437045,0.256694652440072,0.341183457964993,0.272946766371995
1,0.3,3723,800.611866290994,560.428306403696,11335,0.227477472049065,0.0160671516044428,0.227477472049065,0.3128647599466,0.21900533196262
1,0.4,3001,574.819816566874,344.891889940124,8676.59999999999,0.202051992500642,0.0133858296183056,0.202051992500642,0.224629276050947,0.134777565630568
1,0.5,2255,370.742192482118,185.371096241059,5903.2,0.164506144003574,0.0103315775350088,0.164506144003574,0.144879400289622,0.0724397001448109
1,0.6,1708,160.172461593487,64.0689846373948,4262.09999999999,0.149291825182507,0.00561048289229881,0.149291825182507,0.062592525612515,0.025037010245006
1,0.7,1204,167.370498745472,50.2111496236417,2781.69999999999,0.129382821396281,0.00778476016327854,0.129382821396281,0.0654053894488649,0.0196216168346595
1,0.8,671,69.7435756084636,13.9487151216927,1356.4,0.0958441036816764,0.00492812628409646,0.0958441036816764,0.0272545386338661,0.00545090772677323
1,0.9,323,31.1143595788598,3.11143595788598,488.9,0.0698736328082486,0.00444686712267756,0.0698736328082486,0.0121589337485463,0.00121589337485463
2,0,10494,5959.80229625684,5959.80229625684,45816.8000000001,0.647865092800977,0.0842736260005042,0.647865092800977,2.32898386003921,2.32898386003921
2,0.1,8571,4087.49744610792,3678.74770149712,35765.9,0.562742576460666,0.0643129026278986,0.562742576460666,1.59732070070778,1.437588630637
2,0.2,7034,3396.27491985692,2717.01993588554,28669.6000000001,0.508731329509451,0.0602656282389155,0.508731329509451,1.32720333316605,1.06176266653284
2,0.3,5439,2114.47409104168,1480.13186372917,21019.6,0.424454039932826,0.0426981041635391,0.424454039932826,0.826298555843054,0.578408989090138
2,0.4,4421,2108.33275114978,1264.99965068986,16331.2,0.382823658090428,0.0494219442702933,0.382823658090428,0.823898630346157,0.494339178207694
2,0.5,3254,1519.95767151647,759.978835758237,11382.4,0.3221713104481,0.0430213974959679,0.3221713104481,0.593972200575845,0.296986100287922
2,0.6,2306,837.958967936003,335.183587174401,7323.4,0.257371426065216,0.0294489847013444,0.257371426065216,0.327459337522622,0.130983735009049
2,0.7,1444,565.615874695033,169.68476240851,4074.3,0.191955635051692,0.0266482964981478,0.191955635051692,0.221032540622036,0.0663097621866108
2,0.8,868,192.016230359979,38.4032460719958,2100.9,0.146582865625,0.0133972532213222,0.146582865625,0.075036499391068,0.0150072998782136
2,0.9,371,99.8580945319414,9.98580945319414,697.8,0.0983910816332297,0.014080174736072,0.0983910816332297,0.0390227525844657,0.00390227525844657
3,0,14722,13221.5572031524,13221.5572031524,71808.8999999998,1.01911310966554,0.187640560932217,1.01911310966554,5.16674745235545,5.16674745235545
3,0.1,11706,9603.3609956925,8643.02489612325,55560.0999999999,0.871040873420882,0.150556243589627,0.871040873420882,3.75282125971617,3.37753913374455
3,0.2,9885,7897.45799895853,6317.96639916682,45964.4999999999,0.807496639784188,0.138741219789093,0.807496639784188,3.08618496060919,2.46894796848735
3,0.3,7705,5718.8784175449,4003.21489228143,34211,0.682736193905098,0.114129528052399,0.682736193905098,2.23483512873472,1.5643845901143
3,0.4,5843,5049.28433884976,3029.57060330986,24934.9,0.580131119076372,0.117475785907772,0.580131119076372,1.97316977063413,1.18390186238048
3,0.5,4230,2955.15475754528,1477.57737877264,16814.3,0.471783192029576,0.0829170613380338,0.471783192029576,1.15482148435758,0.577410742178791
3,0.6,2867,1755.84194599218,702.33677839687,10268.3,0.362782368709289,0.0620344653200792,0.362782368709289,0.686151544920205,0.274460617968082
3,0.7,1827,1221.47717470663,366.44315241199,6159.5,0.289187032718634,0.0573480574213738,0.289187032718634,0.477331375083495,0.143199412525048
3,0.8,1061,613.297779800689,122.659555960138,2998.89999999999,0.20935472774902,0.042814628603572,0.20935472774902,0.239665774056095,0.047933154811219
