R0,VE,n_breach,net_FoI,net_FoI_maxVE,net_exp_days,breach_per_IA,FoI_per_IA,exp_days_per_IA,net_FoI_rel_base,net_FoI_maxVE_rel_base
1,0,4458,566.396524936514,566.396524936514,9165.10000000002,0.130074951878555,0.00803853757463617,0.130074951878555,0.221337604736979,0.221337604736979
1,0.1,3907,543.288814562256,488.959933106031,7609.79999999999,0.11949750779325,0.00853132268287455,0.11949750779325,0.212307525914078,0.19107677332267
1,0.2,3337,328.572478364345,262.857982691476,6393.9,0.112711870226972,0.005792085979067,0.112711870226972,0.128400232243319,0.102720185794655
1,0.3,2868,272.111603084198,190.478122158939,5776.8,0.116727945269381,0.00549837770253009,0.116727945269381,0.10633633469864,0.0744354342890483
1,0.4,2384,259.712231367783,155.82733882067,4382.19999999999,0.101974533767021,0.00604354746641468,0.101974533767021,0.101490882590222,0.060894529554133
1,0.5,1817,177.833443967792,88.9167219838959,3259.9,0.0917877291268161,0.00500718671879644,0.0917877291268161,0.0694941208093937,0.0347470604046968
1,0.6,1404,117.954372666747,47.1817490666987,2349.4,0.0826772582299012,0.00415090837163303,0.0826772582299012,0.0460944535583743,0.0184377814233497
1,0.7,963,101.504648357508,30.4513945072524,1752.2,0.0824709901056403,0.00477753044764784,0.0824709901056403,0.0396661962917911,0.0118998588875373
1,0.8,629,98.7194801605918,19.7438960321184,924.4,0.0653835129978739,0.00698250369344808,0.0653835129978739,0.0385778025069527,0.00771556050139053
1,0.9,286,23.3383739927791,2.33383739927791,434.8,0.0619730338189089,0.00332647157482255,0.0619730338189089,0.00912021802852082,0.000912021802852082
2,0,5664,1372.06979753368,1372.06979753368,12796.8,0.180718086384605,0.0193765494652099,0.180718086384605,0.536180271501658,0.536180271501658
2,0.1,4838,1215.13514773794,1093.62163296414,10783.4000000001,0.16944219884435,0.0190937154631906,0.16944219884435,0.474853024675913,0.427367722208322
2,0.2,4216,988.839498367183,791.071598693746,9272.00000000001,0.163484647044274,0.0174352972793352,0.163484647044274,0.386420743069426,0.309136594455541
2,0.3,3491,843.967550783302,590.777285548312,7404.09999999999,0.148835265168788,0.0169652130866257,0.148835265168788,0.329807383947225,0.230865168763058
2,0.4,2813,740.419173920055,444.251504352033,5718.5,0.13440548969667,0.0174025359187775,0.13440548969667,0.289342535205644,0.173605521123387
2,0.5,2298,634.429460482472,317.214730241236,4794.99999999999,0.133021897011813,0.0176002107098144,0.133021897011813,0.247923655911385,0.123961827955692
2,0.6,1655,316.331510209364,126.532604083745,3191.1,0.111573462097113,0.0110601992305058,0.111573462097113,0.123616681406052,0.0494466725624206
2,0.7,1142,205.075028372692,61.5225085118076,2179.89999999999,0.101699896171466,0.0095674613940379,0.101699896171466,0.0801396434705658,0.0240418930411698
2,0.8,634,93.1849794310873,18.6369958862175,1061.7,0.0742528576524177,0.00651714327309032,0.0742528576524177,0.0364150188722528,0.00728300377445055
2,0.9,359,47.0752390554887,4.70752390554886,601.1,0.0841380662131837,0.00658928561080046,0.0841380662131837,0.0183961592210165,0.00183961592210165
3,0,6784,3373.58231305317,3373.58231305317,16891.6000000001,0.23866696785684,0.0476664532354461,0.23866696785684,1.31833546937443,1.31833546937443
3,0.1,5792,2337.57334639131,2103.81601175218,13855.6000000001,0.21714206858453,0.0366339611350984,0.21714206858453,0.913481743987131,0.822133569588418
3,0.2,4844,2298.02591094827,1838.42072875861,11526,0.203256083436407,0.0405247046932783,0.203256083436407,0.898027315421499,0.718421852337199
3,0.3,4058,1792.2385613728,1254.56699296096,9209.70000000003,0.186896478307815,0.0363706825855392,0.186896478307815,0.700374689509208,0.490262282656446
3,0.4,3187,1180.13255807079,708.079534842474,7086.10000000001,0.166835871266131,0.0277851630001365,0.166835871266131,0.461174640336628,0.276704784201977
